user_id,accuracy_mean,accuracy_std,avg_response_latency_mean,avg_response_latency_std,hint_rate_mean,hint_rate_std,completion_rate_mean,completion_rate_std
U0001,0.7346166666666667,0.021466664078674765,7.468,0.5,0.1963,0.02,0.78335,0.02
U0002,0.8786166666666667,0.02,5.4206666666666665,0.5,0.12321666666666665,0.02,0.9144333333333333,0.02
U0003,0.9443833333333332,0.02,4.8655,0.5,0.1959,0.020011696579750545,0.8444166666666666,0.02686926993177642
U0004,0.6956333333333333,0.02,5.139333333333333,0.5891256798567407,0.1783,0.0347564670241381,0.9232833333333333,0.02
U0005,0.7422166666666666,0.02,7.057333333333333,0.8113452204004575,0.1337,0.02,0.9411,0.028215740288002358
U0006,0.84665,0.02699131341746819,6.2443333333333335,0.5,0.07958333333333334,0.02,0.7651833333333333,0.021601705179607134
U0007,0.7946333333333334,0.03663919576992194,5.877833333333334,0.5,0.10781666666666667,0.0299740832498121,0.8950333333333332,0.02592247416175134
U0008,0.8500333333333333,0.02,9.100833333333334,0.5,0.13706666666666667,0.02,0.8501833333333334,0.02
U0009,0.8134166666666666,0.0322414278013035,7.8808333333333325,0.564132047189899,0.13401666666666665,0.02,0.8014333333333333,0.029533619261219352
U0010,0.8274166666666667,0.02398177780454707,6.55,0.7096692187209475,0.15098333333333333,0.024767996823858537,0.9190666666666667,0.023938142506607852
U0011,0.7786333333333334,0.02613462581837871,6.2135,0.6164682473574773,0.12786666666666666,0.025597395700865094,0.8916833333333334,0.03772396674087531
U0012,0.8052833333333332,0.02006533495027354,7.445,0.7464449075450915,0.12075000000000001,0.02,0.8374,0.02922019849350782
U0013,0.7644666666666667,0.02,7.91,0.5,0.12736666666666666,0.02,0.80625,0.02
U0014,0.848,0.02642877220000961,8.408666666666667,0.5,0.14783333333333334,0.02628982059023353,0.8546833333333334,0.02
U0015,0.8156333333333333,0.020576847831158894,7.064666666666667,0.5,0.17211666666666667,0.03003007936497449,0.8526333333333334,0.03786901987993174
U0016,0.7460833333333333,0.02002981943669655,5.991499999999999,0.5,0.17798333333333335,0.02,0.8388,0.03328459102948388
U0017,0.6529333333333334,0.02,4.1963333333333335,0.5119674468817981,0.21045,0.027350447893955958,0.73835,0.02
U0018,0.81685,0.029804613736802578,6.3335,0.5352987016610443,0.2242333333333333,0.024271931663274494,0.9381666666666666,0.026189590807545415
U0019,0.72955,0.02,4.093166666666667,0.5372364159908248,0.08768333333333334,0.02,0.7713833333333334,0.026116157195626356
U0020,0.6783333333333333,0.023012315543349062,4.569833333333333,0.5,0.1728333333333333,0.02,0.8927499999999999,0.02000077498498496
U0021,0.7719,0.027652775629220288,5.8870000000000005,0.5165148594183913,0.14523333333333333,0.02,0.8836666666666666,0.02660253120788825
U0022,0.8332166666666666,0.02835174891724791,5.147333333333333,0.5,0.11933333333333333,0.02,0.8997833333333333,0.02
U0023,0.8421166666666666,0.02,5.570333333333333,0.5334190347809743,0.05231666666666667,0.02,0.8489333333333334,0.02
U0024,0.8449333333333334,0.023632407128065986,8.051499999999999,0.6147187161621157,0.1268,0.02,0.8758166666666667,0.02
U0025,0.6970666666666666,0.02968532746436641,4.848166666666667,0.5,0.09855000000000001,0.02,0.8290833333333333,0.022973586282221275
U0026,0.7948666666666666,0.03763390315482393,8.198500000000001,0.5,0.1257,0.02,0.9123333333333333,0.023849081044490312
U0027,0.6975000000000001,0.02065197327133656,8.382166666666667,0.5,0.1641,0.02,0.7953,0.02
U0028,0.9148999999999999,0.03946867112026953,6.5685,0.5,0.18575,0.027722103094823095,0.9401833333333333,0.02
U0029,0.7948,0.05009239463231919,3.4988333333333332,0.5,0.13073333333333334,0.021258190578378657,0.9133,0.02
U0030,0.8043166666666667,0.03248756172239872,7.620666666666668,0.6342695536336793,0.10913333333333335,0.02,0.8726333333333334,0.027052738616758675
U0031,0.6819500000000001,0.02,4.039833333333333,0.5,0.216,0.023524710412670326,0.9336666666666668,0.02736864385874216
U0032,0.8852000000000001,0.02,4.932666666666667,0.647253170457022,0.21071666666666666,0.02,0.9869166666666667,0.021780212732355624
U0033,0.9007999999999999,0.02,5.4235,0.5,0.17838333333333334,0.02,0.9175166666666666,0.02
U0034,0.7725666666666666,0.02,5.271999999999999,0.5868539852467564,0.08170000000000001,0.02,0.8676833333333334,0.030211349964320792
U0035,0.8386166666666667,0.02675357297010378,5.264833333333333,0.6021067734768201,0.09775,0.02,0.874,0.02434953798329655
U0036,0.8743166666666666,0.020127932498561922,4.7025,0.5,0.12505,0.02,0.9249999999999999,0.02
U0037,0.8357166666666668,0.026970681612941617,5.2973333333333334,0.5,0.12245,0.02,0.8412833333333333,0.02193913550408643
U0038,0.7616333333333333,0.03279424746303335,6.787333333333333,0.5641030638692426,0.15321666666666667,0.02,0.8977833333333334,0.02
U0039,0.7606833333333333,0.03221356339597755,5.7138333333333335,0.5,0.13621666666666668,0.024321876298235436,0.8259666666666666,0.02
U0040,0.8057,0.03529317214419811,6.520166666666667,0.5,0.18861666666666665,0.02,0.8674666666666666,0.02
U0041,0.8995833333333333,0.023051977500133637,9.156166666666666,0.5,0.19786666666666666,0.021721203158818498,0.9617333333333334,0.020133222957754826
U0042,0.85085,0.02,6.934333333333334,0.5,0.19448333333333334,0.02,0.8145833333333333,0.025799024529362863
U0043,0.68115,0.030558779425886754,5.343,0.7173253097444702,0.17608333333333334,0.025180739994421664,0.9194166666666667,0.02
U0044,0.7456833333333334,0.02,4.409666666666666,0.5,0.13975,0.02,0.9088833333333334,0.025385146575638843
U0045,0.87805,0.04089130714467317,6.700333333333333,0.5,0.15718333333333334,0.0214003193122595,0.8387833333333333,0.021031349615910713
